fieldid,instance_id,path,category,field,participants,items,units,sexed,coding,notes,link,excluded,cat_mult_indicator_fields,cat_single_to_cat_mult,date_convert,valuetype,allow_regression
1389,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Pork intake,501626,572252,,Unisex,100377,"ACE touchscreen question ""How often do you eat pork? (Do not count processed meats such as bacon or ham)"" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1389,,,,,Categorical single,1
1408,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Cheese intake,490275,558765,,Unisex,100377,"ACE touchscreen question ""How often do you eat cheese? (Include cheese in pizzas, quiches, cheese sauce etc)"" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.      ~F1408~ was collected from all participants except those who indicated that they never eat dairy products, as defined by their answers to ~F6144~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1408,,,,,Categorical single,1
1418,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Milk type used,501557,572169,,Unisex,100387,"ACE touchscreen question ""What type of milk do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of milk, please select the one that you drink the most. If you are unsure, select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418,,,,,Categorical single,1
1428,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Spread type,498739,568482,,Unisex,100388,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1428,,,,,Categorical single,1
1438,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Bread intake,498739,568482,slices/week,Unisex,100373,"ACE touchscreen question ""How many slices of bread do you eat each WEEK?"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 50 then participant asked to confirm   If the participant activated the Help button they were shown the message:     For other types of bread:  - one bread roll = 2 slices  - one pitta bread = 2 slices      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438,,,,,Integer,1
1448,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Bread type,483608,548894,,Unisex,100391,"ACE touchscreen question ""What type of bread do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of bread, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1448~ was collected from all participants except those who indicated that they do not eat bread or less than one slice each week, as defined by their answers to ~F1438~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1448,,,,,Categorical single,1
1458,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Cereal intake,501526,572135,bowls/week,Unisex,100373,"ACE touchscreen question ""How many bowls of cereal do you eat a WEEK?"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 14 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458,,,,,Integer,1
1468,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Cereal type,419103,472931,,Unisex,100393,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468,,,,,Categorical single,1
1478,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Salt added to food,501626,572252,,Unisex,100394,"ACE touchscreen question ""Do you add salt to your food? (Do not include salt used in cooking)"" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1478,,,,,Categorical single,1
1488,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Tea intake,501626,572252,cups/day,Unisex,100373,"ACE touchscreen question ""How many cups of tea do you drink each DAY? (Include black and green tea)"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488,,,,,Integer,1
1498,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Coffee intake,501626,572252,cups/day,Unisex,100373,"ACE touchscreen question ""How many cups of coffee do you drink each DAY? (Include decaffeinated coffee)"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498,,,,,Integer,1
1508,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Coffee type,391175,444622,,Unisex,100397,"ACE touchscreen question ""What type of coffee do you usually drink?"" If the participant activated the Help button they were shown the message:     If you drink more than one type of coffee, please select the one that you drink the most. If you are unsure, select Do not know.      ~F1508~ was collected from participants who indicated that they drank at least 1 cup of coffee each day or less than one cup each day, as defined by their answers to ~F1498~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508,,,,,Categorical single,1
1518,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Hot drink temperature,501626,572252,,Unisex,100398,"ACE touchscreen question ""How do you like your hot drinks? (Such as coffee or tea)""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1518,,,,,Categorical single,1
1528,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Water intake,501626,572252,glasses/day,Unisex,100373,"ACE touchscreen question ""How many glasses of water do you drink each DAY? "" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528,,,,,Integer,1
1538,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Major dietary changes in the last 5 years,501626,572252,,Unisex,100400,"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1538,,,,,Categorical single,1
1548,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,Variation in diet,498739,568482,,Unisex,100401,"ACE touchscreen question ""Does your diet vary much from week to week?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1548,,,,,Categorical single,1
1558,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Alcohol intake frequency.,501626,572252,,Unisex,100402,"ACE touchscreen question ""About how often do you drink alcohol?"" If the participant activated the Help button they were shown the message:     If this varies a lot, please provide an average considering your intake over the last year     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1558,,,,,Categorical single,1
1568,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Average weekly red wine intake,349095,396924,glasses,Unisex,100291,"ACE touchscreen question ""In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling red wine here.      ~F1568~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568,,,,,Integer,1
1578,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Average weekly champagne plus white wine intake,349094,396923,glasses,Unisex,100291,"ACE touchscreen question ""In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling white wine here.      ~F1578~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578,,,,,Integer,1
1588,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Average weekly beer plus cider intake,349094,396923,pints,Unisex,100291,"ACE touchscreen question ""In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)""  The following checks were performed:    If answer    If answer > 250 then rejected   If answer > 100 then participant asked to confirm     ~F1588~ was collected from participants who indicated they drink alcohol more often than one to three times per month, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588,,,,,Integer,1
1598,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Average weekly spirits intake,349094,396923,measures,Unisex,100291,"ACE touchscreen question ""In an average WEEK, how many measures of spirits or liqueurs would you drink? (there are 25 standard measures in a normal sized bottle;  spirits include drinks such as whisky, gin, rum, vodka, brandy)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     For mixed drinks that contain spirits or liqueurs, count one bottle as one measure. There is a question later on alcopops      ~F1598~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598,,,,,Integer,1
1608,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Average weekly fortified wine intake,349094,396923,glasses,Unisex,100291,"ACE touchscreen question ""In an average WEEK, how many glasses of fortified wine would you drink? (There are 12 glasses in an average bottle) (Fortified wines include drinks such as sherry, port, vermouth)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Fortified wines include: Sherry, Port, Vermouth, Muscat, Madeira, Malaga, Tokay, Frontignan, Frontignac.      ~F1608~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608,,,,,Integer,1
1618,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Alcohol usually taken with meals,395015,453225,,Unisex,100416,"ACE touchscreen question ""When you drink alcohol is it usually with meals?"" ~F1618~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1618,,,,,Categorical single,1
1628,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,Alcohol intake versus 10 years previously,460900,526259,,Unisex,100417,"ACE touchscreen question ""Compared to 10 years ago, do you drink?"" ~F1628~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1628,,,,,Categorical single,1
1647,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Country of birth (UK/elsewhere),501614,533614,,Unisex,100420,"ACE touchscreen question ""Where were you born?""   Participants who indicated they were born inside the United Kingdom were asked during the verbal interview in what area they had been born (~F129~ and ~F130~).   Participants who indicated they were born outside the United Kingdom and Republic of Ireland were asked during the verbal interview in what country they had been born (~F20115~) and when they had immigrated (~F3659~).   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1647,,,,,Categorical single,1
1677,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Breastfed as a baby,501614,533614,,Unisex,100349,"ACE touchscreen question ""Were you breastfed when you were a baby?""   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1677,,,,,Categorical single,1
1687,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Comparative body size at age 10,501614,533614,,Unisex,100428,"ACE touchscreen question ""When you were 10 years old, compared to average would you describe yourself as:""   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1687,,,,,Categorical single,1
1697,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Comparative height size at age 10,501614,533614,,Unisex,100429,"ACE touchscreen question ""When you were 10 years old, compared to average would you describe yourself as:""   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1697,,,,,Categorical single,1
1707,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Handedness (chirality/laterality),501614,533614,,Unisex,100430,"ACE touchscreen question ""Are you right or left handed?""   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1707,,,,,Categorical single,1
1717,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,Skin colour,501613,533613,,Unisex,100431,"ACE touchscreen question ""What best describes the colour of your skin without tanning?""  If the participant activated the Help button they were shown the message:        If you are unsure, please provide an estimate or select Do not know.           This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1717,,,,,Categorical single,1
1727,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,Ease of skin tanning,498413,529843,,Unisex,100432,"ACE touchscreen question ""What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?""   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1727,,,,,Categorical single,1
1737,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,Childhood sunburn occasions,498413,529843,times,Unisex,100291,"ACE touchscreen question ""Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering?""  The following checks were performed:    If answer    If answer > 999 then rejected   If answer > 20 then participant asked to confirm     If the participant activated the Help button they were shown the message:        If you are unsure, please provide an estimate or select Do not know.         This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737,,,,,Integer,1
1747,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,"Hair colour (natural, before greying)",501613,533613,,Unisex,100434,"ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1747,,,,,Categorical single,1
1757,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,Facial ageing,498736,568479,,Unisex,100435,"ACE touchscreen question ""Do people say that you look:""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1757,,,,,Categorical single,1
1767,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Adopted as a child,501623,572249,,Unisex,100349,"ACE touchscreen question ""Were you adopted as a child?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1767,,,,,Categorical single,1
1777,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Part of a multiple birth,494270,525799,,Unisex,100349,"ACE touchscreen question ""Are you a twin, triplet or other multiple birth?""  ~F1777~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1777,,,,,Categorical single,1
1787,2,UK Biobank Assessment Centre > Touchscreen > Early life factors,100033,Maternal smoking around birth,494270,525799,,Unisex,100349,"ACE touchscreen question ""Did your mother smoke regularly around the time when you were born?""  ~F1787~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~   This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1787,,,,,Categorical single,1
1797,2,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Father still alive,494294,563954,,Unisex,100349,"ACE touchscreen question ""Is your father still alive?"" ~F1797~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1797,,,,,Categorical single,1
1807,2,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Father's age at death,385925,438263,years,Unisex,100291,"ACE touchscreen question ""What was his age when he died?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1807~ was collected from participants who indicated their father has died, as defined by their answers to ~F1797~ or, if they are adopted, their adopted father has died, as defined by their answers to ~F1797~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807,,,,,Integer,1
1835,2,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Mother still alive,494294,563954,,Unisex,100349,"ACE touchscreen question ""Is your mother still alive?"" ~F1835~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1835,,,,,Categorical single,1
1845,2,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Mother's age,199420,218016,years,Unisex,100291,"ACE touchscreen question ""What is her age now?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1845~ was collected from participants who indicated their mother is still alive, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother is still alive, as defined by their answers to ~F1835~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845,,,,,Integer,1
1873,2,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Number of full brothers,494291,563951,,Unisex,100291,"ACE touchscreen question ""How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half-brothers, step-brothers or adopted brothers)"" The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 10 then participant asked to confirm   ~F1873~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873,,,,,Integer,1
1883,2,UK Biobank Assessment Centre > Touchscreen > Family history,100034,Number of full sisters,494291,563951,,Unisex,100291,"ACE touchscreen question ""How many sisters do you have? (Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)"" The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 10 then participant asked to confirm   ~F1883~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883,,,,,Integer,1
1920,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Mood swings,501619,572245,,Unisex,100349,"ACE touchscreen question ""Does your mood often go up and down?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1920,,,,,Categorical single,1
1930,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Miserableness,501619,572245,,Unisex,100349,"ACE touchscreen question ""Do you ever feel 'just miserable' for no reason?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1930,,,,,Categorical single,1
1940,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Irritability,501619,572245,,Unisex,100349,"ACE touchscreen question ""Are you an irritable person?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1940,,,,,Categorical single,1
1950,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Sensitivity / hurt feelings,501618,572244,,Unisex,100349,"ACE touchscreen question ""Are your feelings easily hurt?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1950,,,,,Categorical single,1
1960,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Fed-up feelings,501618,572244,,Unisex,100349,"ACE touchscreen question ""Do you often feel 'fed-up'?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1960,,,,,Categorical single,1
1970,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Nervous feelings,501618,572244,,Unisex,100349,"ACE touchscreen question ""Would you call yourself a nervous person?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1970,,,,,Categorical single,1
1980,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Worrier / anxious feelings,501617,572243,,Unisex,100349,"ACE touchscreen question ""Are you a worrier?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1980,,,,,Categorical single,1
1990,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Tense / 'highly strung',501617,572243,,Unisex,100349,"ACE touchscreen question ""Would you call yourself tense or 'highly strung'?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1990,,,,,Categorical single,1
2000,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Worry too long after embarrassment,501617,572243,,Unisex,100349,"ACE touchscreen question ""Do you worry too long after an embarrassing experience?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2000,,,,,Categorical single,1
2010,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Suffer from 'nerves',501617,572243,,Unisex,100349,"ACE touchscreen question ""Do you suffer from 'nerves'?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2010,,,,,Categorical single,1
2020,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,"Loneliness, isolation",501616,572242,,Unisex,100349,"ACE touchscreen question ""Do you often feel lonely?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2020,,,,,Categorical single,1
2030,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Guilty feelings,501616,572242,,Unisex,100349,"ACE touchscreen question ""Are you often troubled by feelings of guilt?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2030,,,,,Categorical single,1
2040,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Risk taking,501616,572242,,Unisex,100349,"ACE touchscreen question ""Would you describe yourself as someone who takes risks?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2040,,,,,Categorical single,1
2050,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Frequency of depressed mood in last 2 weeks,501616,572242,,Unisex,100484,"ACE touchscreen question ""Over the past two weeks, how often have you felt down, depressed or hopeless?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2050,,,,,Categorical single,1
2060,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Frequency of unenthusiasm / disinterest in last 2 weeks,501615,572241,,Unisex,100484,"ACE touchscreen question ""Over the past two weeks, how often have you had little interest or pleasure in doing things?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2060,,,,,Categorical single,1
2070,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Frequency of tenseness / restlessness in last 2 weeks,501614,572240,,Unisex,100484,"ACE touchscreen question ""Over the past two weeks, how often have you felt tense, fidgety or restless?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2070,,,,,Categorical single,1
2080,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Frequency of tiredness / lethargy in last 2 weeks,501613,572239,,Unisex,100484,"ACE touchscreen question ""Over the past two weeks, how often have you felt tired or had little energy?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2080,,,,,Categorical single,1
2090,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,"Seen doctor (GP) for nerves, anxiety, tension or depression",501612,572238,,Unisex,100349,"ACE touchscreen question ""Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2090,,,,,Categorical single,1
2100,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,"Seen a psychiatrist for nerves, anxiety, tension or depression",501612,572238,,Unisex,100349,"ACE touchscreen question ""Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2100,,,,,Categorical single,1
2110,2,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,100061,Able to confide,501611,572237,,Unisex,100501,"ACE touchscreen question ""How often are you able to confide in someone close to you?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2110,,,,,Categorical single,1
2129,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Answered sexual history questions,501609,572235,,Unisex,100503,"ACE touchscreen question ""The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer.""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2129,,,,,Categorical single,1
2139,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Age first had sexual intercourse,456560,519823,years,Unisex,100504,"ACE touchscreen question ""What was your age when you first had sexual intercourse? (Sexual intercourse includes vaginal, oral or anal intercourse)"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2139,,,,,Integer,1
