"FieldID","Category","Path","Field","ValueType","DataCoding","Excluded","CatMultIndicatorFields","CatSingleToCatMult","DateConvert","Participants","Items","Units","Strata","Instances","Array","Notes","Link","phenoCategory","covarType"
20010,100076,"UK Biobank Assessment Centre > Verbal interview > Operations","Interpolated Year when operation took place","Continuous",13,NA,NA,NA,NA,398514,991164,"years","Primary",4,32,"This is the year when the participant indicated the operation took place.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20010","Operations","centerSex"
20011,100076,"UK Biobank Assessment Centre > Verbal interview > Operations","Interpolated Age of participant when operation took place","Continuous",13,NA,NA,NA,NA,398514,991164,"years","Primary",4,32,"This is the age participant indicated they were when the corresponding operation took place.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20011","Operations","centerSex"
20012,100074,"UK Biobank Assessment Centre > Verbal interview > Medical conditions","Method of recording time when cancer first diagnosed","Categorical single",14,"YES-ACE",NA,NA,NA,45525,53149,"","Primary",4,6,"Participants were able to record the time the cancer was diagnosed by entering either their age or the year. Some participants recorded an event but were unable to recall the time.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20012","Medical conditions","centerSex"
20013,100074,"UK Biobank Assessment Centre > Verbal interview > Medical conditions","Method of recording time when non-cancer illness first diagnosed","Categorical single",14,"YES-ACE",NA,NA,NA,385697,1121528,"","Primary",4,34,"Participants were able to record the time the non-cancer illness was diagnosed by entering either their age or the year. Some participants recorded an event but were unable to recall the time.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20013","Medical conditions","centerSex"
20014,100076,"UK Biobank Assessment Centre > Verbal interview > Operations","Method of recording time when operation occurred","Categorical single",14,"YES-ACE",NA,NA,NA,398516,991168,"","Primary",4,32,"Participants were able to record the time the operation took place by entering either their age or the year. Some participants recorded an operation but were unable to recall the time.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20014","Operations","centerSex"
20015,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Sitting height","Continuous",NA,NA,NA,NA,NA,497178,565500,"cm","Derived",4,1,"Distance from rump to crown when sitting, calculated as the difference between ~F51~ and ~F3077~.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20015","Body size measures","centerSex"
20016,100027,"UK Biobank Assessment Centre > Cognitive function > Fluid intelligence / reasoning","Fluid intelligence score","Integer",NA,NA,NA,NA,NA,204713,232255,"correct-answers","Derived",4,1,"This is a simple unweighted sum of the number of correct answers given to the 13 fluid intelligence questions. Participants who did not answer all of the questions within the allotted 2 minute limit are scored as zero for each of the unattempted questions.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20016","Fluid intelligence / reasoning","centerSex"
20018,100031,"UK Biobank Assessment Centre > Cognitive function > Prospective memory","Prospective memory result","Categorical single",18,NA,NA,NA,NA,211307,239452,"","Derived",4,1,"This field condenses the results of the prospective memory test into 3 groups. It does not distinguish between people who, at the first attempt, followed the on-screen instruction (thereby giving an incorrect result) and people who remembered to ignore the instruction but did not correctly recall what to do instead. Please see the constituent parts ~F4292~ and ~F4293~ if additional detail is required.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20018","Prospective memory","centerSex"
20019,100049,"UK Biobank Assessment Centre > Physical measures > Hearing test","Speech-reception-threshold (SRT) estimate (left)","Continuous",NA,NA,NA,NA,NA,203414,231336,"","Derived",4,1,"SRT is the Speech Reception Threshold, defined here as the signal-to-noise ratio at which half of the presented speech can be understood correctly. This was estimated as the value of the last round of the signal-to-noise ratio measurement for participants who completed all 15 rounds of the test (left-ear).","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20019","Hearing test","centerSex"
20021,100049,"UK Biobank Assessment Centre > Physical measures > Hearing test","Speech-reception-threshold (SRT) estimate (right)","Continuous",NA,NA,NA,NA,NA,203414,231351,"","Derived",4,1,"SRT is the Speech Reception Threshold, defined here as the signal-to-noise ratio at which half of the presented speech can be understood correctly. This was estimated as the value of the last round of the signal-to-noise ratio measurement for participants who completed all 15 rounds of the test (right-ear).","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20021","Hearing test","centerSex"
20022,100072,"UK Biobank Assessment Centre > Verbal interview > Early life factors","Birth weight","Continuous",NA,NA,NA,NA,NA,280255,293434,"Kg","Derived",3,1,"Participants were asked to enter their own birth-weight.  The weight could be entered either in Kg or in Imperial pounds+ounces. Values entered as Imperial units are held in ~F121~ and ~F122~, and their values have been converted into Kg and incorporated into this field.   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20022","Early life factors","centerSex"
20023,100032,"UK Biobank Assessment Centre > Cognitive function > Reaction time","Mean time to correctly identify matches","Integer",NA,NA,NA,NA,NA,496850,564184,"milliseconds","Derived",4,1,"This field is the mean duration to first press of snap-button summed over rounds in which both cards matched. It gives a crude measure of the raw processing+reaction speed of a participant.   The following data points were excluded when forming the average:   Rounds 0-4 were regarded as ""training"";   Times under 50ms must be due to anticipation rather than reaction;   Times over 2000ms were ignored as the cards had disappeared by then.     Values were rounded to the nearest whole number.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20023","Reaction time","centerSex"
20033,100024,"UK Biobank Assessment Centre > Recruitment > Reception","Home location at assessment - east co-ordinate","Integer",NA,"YES-SENSITIVE",NA,NA,NA,497874,544128,"metre-grid","Derived",3,1,"This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead.   The location co-ordinates use the Ordnance Survey (OSGB) reference. This East co-ordinate needs to be used in conjunction with the North co-ordinate in ~F20034~.   These grid co-ordinates (to a 100m accuracy) will only be released following special approval. For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. These rounded values are found in ~F20074~ and ~F20075~.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20033","Reception","centerSex"
20034,100024,"UK Biobank Assessment Centre > Recruitment > Reception","Home location at assessment - north co-ordinate","Integer",NA,"YES-SENSITIVE",NA,NA,NA,497874,544128,"metre-grid","Derived",3,1,"This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead.   The location co-ordinates use the Ordnance Survey (OSGB) reference. This North co-ordinate needs to be used in conjunction with the East co-ordinate in ~F20033~.   These grid co-ordinates (to a 100m accuracy) will only be released following special approval. For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. These rounded values are found in ~F20074~ and ~F20075~.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20034","Reception","centerSex"
20041,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Reason for skipping weight","Categorical single",47,NA,NA,NA,NA,1044,1044,"","Derived",1,1,"Reason weight measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20041","Body size measures","centerSex"
20042,100020,"UK Biobank Assessment Centre > Physical measures > Spirometry","Reason for skipping spirometry","Categorical single",47,NA,NA,NA,NA,2013,2013,"","Derived",1,1,"Reason spirometry measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20042","Spirometry","centerSex"
20043,100019,"UK Biobank Assessment Centre > Physical measures > Hand grip strength","Reason for skipping grip strength (right)","Categorical single",47,NA,NA,NA,NA,1628,1628,"","Derived",1,1,"Reason hand grip strength measurement (right hand) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20043","Hand grip strength","centerSex"
20044,100019,"UK Biobank Assessment Centre > Physical measures > Hand grip strength","Reason for skipping grip strength (left)","Categorical single",47,NA,NA,NA,NA,1695,1695,"","Derived",1,1,"Reason hand grip strength measurement (left hand) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20044","Hand grip strength","centerSex"
20045,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Reason for skipping waist","Categorical single",47,NA,NA,NA,NA,445,445,"","Derived",1,1,"Reason waist measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20045","Body size measures","centerSex"
20046,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Reason for skipping hip measurement","Categorical single",47,NA,NA,NA,NA,504,504,"","Derived",1,1,"Reason hip measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20046","Body size measures","centerSex"
20047,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Reason for skipping standing height","Categorical single",47,NA,NA,NA,NA,824,824,"","Derived",1,1,"Reason standing height measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20047","Body size measures","centerSex"
20048,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Reason for skipping sitting height","Categorical single",47,NA,NA,NA,NA,843,843,"","Derived",1,1,"Reason sitting height measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20048","Body size measures","centerSex"
20049,100002,"UK Biobank Assessment Centre > Biological sampling > Blood sample collection","Blood sample #, note contents","Categorical single",49,NA,"35","YES",NA,11387,34926,"","Derived",1,7,"Notes relating to blood sample #, particularly why it was not collected. This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20049","Blood sample collection","centerSex"
20050,100002,"UK Biobank Assessment Centre > Biological sampling > Blood sample collection","Reason blood sampling not attempted","Categorical single",50,NA,NA,NA,NA,1583,1583,"","Derived",1,1,"Reason blood sampling was not attempting (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20050","Blood sample collection","centerSex"
20051,100007,"UK Biobank Assessment Centre > Physical measures > Arterial stiffness","Reason for skipping arterial stiffness","Categorical single",51,NA,NA,NA,NA,931,931,"","Derived",1,1,"Reason arterial stiffness measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20051","Arterial stiffness","centerSex"
20052,100014,"UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction","Reason for skipping refractometry (left)","Categorical single",54,NA,NA,NA,NA,1520,1520,"","Derived",1,1,"Reason refractometry measurement (left eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20052","Autorefraction","centerSex"
20053,100015,"UK Biobank Assessment Centre > Physical measures > Eye measures > Intraocular pressure","Reason for skipping IOP (right)","Categorical single",54,NA,NA,NA,NA,2403,2403,"","Derived",1,1,"Reason intraocular pressure measurement (right eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20053","Intraocular pressure","centerSex"
20054,100015,"UK Biobank Assessment Centre > Physical measures > Eye measures > Intraocular pressure","Reason for skipping IOP (left)","Categorical single",54,NA,NA,NA,NA,2596,2596,"","Derived",1,1,"Reason intraocular pressure measurement (left eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20054","Intraocular pressure","centerSex"
20055,100014,"UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction","Reason for skipping refractometry (right)","Categorical single",54,NA,NA,NA,NA,1399,1399,"","Derived",1,1,"Reason refractometry measurement (right eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20055","Autorefraction","centerSex"
20056,100017,"UK Biobank Assessment Centre > Physical measures > Eye measures > Visual acuity","Reason for skipping visual acuity (right)","Categorical single",56,NA,NA,NA,NA,410,410,"","Derived",1,1,"Reason visual acuity measurement (right eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20056","Visual acuity","centerSex"
20057,100017,"UK Biobank Assessment Centre > Physical measures > Eye measures > Visual acuity","Reason for skipping visual acuity (left)","Categorical single",56,NA,NA,NA,NA,449,449,"","Derived",1,1,"Reason visual acuity measurement (left eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20057","Visual acuity","centerSex"
20058,100012,"UK Biobank Assessment Centre > Physical measures > ECG during exercise","Reason for skipping ECG","Categorical single",47,NA,NA,NA,NA,358,358,"","Derived",1,1,"Reason ECG measurement was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20058","ECG during exercise","centerSex"
20059,100012,"UK Biobank Assessment Centre > Physical measures > ECG during exercise","Reason ECG not completed","Categorical single",59,NA,NA,NA,NA,262,262,"","Derived",1,1,"Reason ECG measurement was not completed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20059","ECG during exercise","centerSex"
20060,100012,"UK Biobank Assessment Centre > Physical measures > ECG during exercise","Reason at-rest ECG performed without bicycle","Categorical single",60,NA,NA,NA,NA,942,942,"","Derived",1,1,"Reason at-rest (i.e. without bike) ECG measurement was performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20060","ECG during exercise","centerSex"
20061,100016,"UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography","Reason for skipping OCT (right)","Categorical single",54,NA,NA,NA,NA,3164,3164,"","Derived",1,1,"Reason optical coherence tomography measurement (right eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20061","Retinal optical coherence tomography","centerSex"
20062,100016,"UK Biobank Assessment Centre > Physical measures > Eye measures > Retinal optical coherence tomography","Reason for skipping OCT (left)","Categorical single",54,NA,NA,NA,NA,3360,3360,"","Derived",1,1,"Reason optical coherence tomography measurement (left eye) was not performed (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20062","Retinal optical coherence tomography","centerSex"
20071,100096,"UK Biobank Assessment Centre > Biological sampling > Saliva sample collection","Reason no saliva sample collected","Categorical single",71,NA,NA,NA,NA,783,783,"","Derived",1,1,"Reason saliva sample was not collected (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20071","Saliva sample collection","centerSex"
20072,100095,"UK Biobank Assessment Centre > Biological sampling > Urine sample collection","Reason no urine sample collected","Categorical single",71,NA,NA,NA,NA,3560,3560,"","Derived",1,1,"Reason urine sample was not collected (entered as free-text by a UK Biobank Staff member). This field was created by post-hoc coding the free-text reasons entered during the assessment centre visit. The encoding used was constructed after the data had been examined to determine suitable representative groupings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20072","Urine sample collection","centerSex"
20074,100024,"UK Biobank Assessment Centre > Recruitment > Reception","Home location at assessment - east co-ordinate (rounded)","Integer",NA,NA,NA,NA,NA,497874,544128,"metre-grid","Derived",3,1,"This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead.   The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This East co-ordinate needs to be used in conjunction with the North co-ordinate in ~F20075~.   For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F20033~ and ~F20034~, however special approval will be required to release the more detailed information.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20074","Reception","centerSex"
20075,100024,"UK Biobank Assessment Centre > Recruitment > Reception","Home location at assessment - north co-ordinate (rounded)","Integer",NA,NA,NA,NA,NA,497874,544128,"metre-grid","Derived",3,1,"This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead.   The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This North co-ordinate needs to be used in conjunction with the East co-ordinate in ~F20074~.   For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F20033~ and ~F20034~, however special approval will be required to release the more detailed information.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20075","Reception","centerSex"
20077,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","Number of diet questionnaires completed","Integer",NA,NA,NA,NA,NA,211013,211013,"","Derived",1,1,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20077","Diet questionnaire performance","centerSex"
20078,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","When diet questionnaire completion requested","Date",NA,"YES-DATE",NA,NA,NA,211013,458597,"","Primary",5,1,"During the online phase participants were emailed an invitation to complete the questionnaire and asked to complete it the same day if possible. This email contained a weblink to the server hosting the system.   In the initial instance the questionnaire was presented at the end of the clinic visit so by necessity completion had to be on the same day.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20078","Diet questionnaire performance","centerSex"
20079,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","Day-of-week questionnaire completion requested","Categorical single",73,NA,NA,NA,NA,211010,458594,"","Supporting",5,1,"During the online phase participants were emailed an invitation to complete the questionnaire and asked to complete it the same day if possible. This email contained a weblink to the server hosting the system.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20079","Diet questionnaire performance","centerSex"
20080,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","Day-of-week questionnaire completed","Categorical single",73,NA,NA,NA,NA,211010,458594,"","Supporting",5,1,"This field holds the day of the week on which participants completed the questionnaire. Note that the data returned represents their recall of the previous day of the week.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20080","Diet questionnaire performance","centerSex"
20081,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","Hour-of-day questionnaire completed","Integer",NA,NA,NA,NA,NA,211010,458594,"hours","Supporting",5,1,"This is the hour at which the diet questionnaire was completed. It is represented using the standard 24-hour clock whereby (e.g.) 14 represents the interval 2.00pm to 2.59pm inclusive.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20081","Diet questionnaire performance","centerSex"
20082,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","Duration of questionnaire","Integer",NA,NA,NA,NA,NA,211010,458594,"minutes","Derived",5,1,"This is the time participants took to complete the diet questionnaire as measured from initially connecting to the web-server to clicking the sign-off button on the final screen. Participants were able to stop and resume completing a questionnaire multiple times within the same day, and hence the longer times recorded are unlikely to indicate continuous use.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20082","Diet questionnaire performance","centerSex"
20083,100114,"Online follow-up > Diet by 24-hour recall > Diet questionnaire performance","Delay between questionnaire request and completion","Integer",NA,NA,NA,NA,NA,211010,458594,"days","Derived",5,1,"This field gives the number of whole days elapsed between a participant being requested to do the questionnaire and the time when they complete it. Note that within the clinic the questionnaire was always done at the same time as the request. In the first and second online instances participants were allowed 3 days after the invitation date to complete, and in the third and fourth online instances they were allowed 14 days after the invitation date to complete.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20083","Diet questionnaire performance","centerSex"
20084,100112,"Online follow-up > Diet by 24-hour recall > Vitamin/mineral supplements yesterday","Vitamin and/or mineral supplement use","Categorical multiple",74,NA,"20082",NA,NA,103844,451428,"","Derived",5,21,"This field indicates the vitamin and/or mineral supplements that the participant indicated they consumed yesterday. The data is an amalgamation of 21 individual Yes/No answers which were asked if the participant indicated they consumed any supplements.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20084","Vitamin/mineral supplements yesterday","centerSex"
20085,100097,"Online follow-up > Diet by 24-hour recall > Typical diet yesterday","Reason for not eating or drinking normally","Categorical multiple",75,NA,"20082",NA,NA,67937,90435,"","Derived",5,4,"This field indicates the reason why the participant did not eat or drink normally yesterday. The data is an amalgamation of 4 individual Yes/No answers which were asked if the participant indicated they did not eat or drink normally.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20085","Typical diet yesterday","centerSex"
20086,100097,"Online follow-up > Diet by 24-hour recall > Typical diet yesterday","Type of special diet followed","Categorical multiple",76,NA,"20082",NA,NA,58982,112184,"","Derived",5,6,"This field indicates whether the participant routinely follows a special diet. The data is an amalgamation of 4 individual Yes/No answers.   Some of the self-entered data regarding special diets is inconsistent with the actual food intake reported on the same occasion by participants. For instance, around a tenth of people indicating they followed a vegan diet also answered that they had eaten meat the prevous day.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20086","Typical diet yesterday","centerSex"
20087,100101,"Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday","Types of spread used on bread/crackers","Categorical multiple",77,NA,"20082",NA,NA,161204,617055,"","Derived",5,13,"This field indicates the type(s) of spread the participant used on bread or crackers yesterday. The data is an amalgamation of 8 individual Yes/No answers and 29 corresponding tick boxes which were asked if the participant indicated they used spread on bread or crackers.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20087","Bread/pasta/rice yesterday","centerSex"
20088,100110,"Online follow-up > Diet by 24-hour recall > Spreads/sauces/cooking oils yesterday","Types of spreads/sauces consumed","Categorical multiple",78,NA,"20082",NA,NA,145999,443425,"","Derived",5,17,"This field indicates the type(s) of spreads or sauces the participant consumed yesterday. The data is an amalgamation of 19 individual Yes/No answers which were asked if the participant indicated they consumed any spreads or sauces.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20088","Spreads/sauces/cooking oils yesterday","centerSex"
20089,100105,"Online follow-up > Diet by 24-hour recall > Meal type yesterday","Type of meals eaten","Categorical multiple",79,NA,"20082",NA,NA,204931,523815,"","Derived",5,5,"This field indicates the type(s) of meals the participant consumed yesterday. The data is an amalgamation of 5 individual Yes/No answers.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20089","Meal type yesterday","centerSex"
20090,100110,"Online follow-up > Diet by 24-hour recall > Spreads/sauces/cooking oils yesterday","Type of fat/oil used in cooking","Categorical multiple",80,NA,"20082",NA,NA,191514,594802,"","Derived",5,24,"This field indicates the type(s) of fats or oils the participant used when cooking yesterday. The data is an amalgamation of 16 individual Yes/No answers and 29 corresponding tick boxes.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20090","Spreads/sauces/cooking oils yesterday","centerSex"
20091,100101,"Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday","Type of sliced bread eaten","Categorical multiple",81,NA,"20082",NA,NA,159402,350283,"","Derived",5,5,"This field indicates the type(s) of sliced bread the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed sliced bread.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20091","Bread/pasta/rice yesterday","centerSex"
20092,100101,"Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday","Type of baguette eaten","Categorical multiple",81,NA,"20082",NA,NA,36165,46781,"","Derived",5,5,"This field indicates the type(s) of baguette the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed baguette.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20092","Bread/pasta/rice yesterday","centerSex"
20093,100101,"Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday","Type of large bap eaten","Categorical multiple",81,NA,"20082",NA,NA,14403,17351,"","Derived",5,4,"This field indicates the type(s) of large bap the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed large bap.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20093","Bread/pasta/rice yesterday","centerSex"
20094,100101,"Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday","Type of bread roll eaten","Categorical multiple",81,NA,"20082",NA,NA,54585,79098,"","Derived",5,5,"This field indicates the type(s) of bread roll the participant consumed yesterday. The data is an amalgamation of 5 individual tick boxes which were asked if the participant indicated they consumed bread roll.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20094","Bread/pasta/rice yesterday","centerSex"
20095,100100,"Online follow-up > Diet by 24-hour recall > Alcoholic beverages yesterday","Size of white wine glass drunk","Categorical multiple",82,NA,"20082",NA,NA,47036,65482,"","Derived",5,3,"This field indicates the size(s) of white wine glass the participant consumed yesterday. The data is an amalgamation of 3 individual tick boxes which were asked if the participant indicated they consumed white wine.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20095","Alcoholic beverages yesterday","centerSex"
